Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,AEP-Schätzer,Status
01.01.2026,UTC,20:45,21:00,AEP-Schätzer,Betrieblich,EUR/MWh,131.6,0.0
01.01.2026,UTC,21:00,21:15,AEP-Schätzer,Betrieblich,EUR/MWh,128.32,0.0
01.01.2026,UTC,21:15,21:30,AEP-Schätzer,Betrieblich,EUR/MWh,111.82,0.0
01.01.2026,UTC,21:30,21:45,AEP-Schätzer,Betrieblich,EUR/MWh,113.29,0.0
01.01.2026,UTC,21:45,22:00,AEP-Schätzer,Betrieblich,EUR/MWh,44.53,0.0
01.01.2026,UTC,22:00,22:15,AEP-Schätzer,Betrieblich,EUR/MWh,101.46,0.0
01.01.2026,UTC,22:15,22:30,AEP-Schätzer,Betrieblich,EUR/MWh,94.89,0.0
01.01.2026,UTC,22:30,22:45,AEP-Schätzer,Betrieblich,EUR/MWh,103.31,0.0
01.01.2026,UTC,22:45,23:00,AEP-Schätzer,Betrieblich,EUR/MWh,68.67,0.0
01.01.2026,UTC,23:00,23:15,AEP-Schätzer,Betrieblich,EUR/MWh,125.03,0.0
01.01.2026,UTC,23:15,23:30,AEP-Schätzer,Betrieblich,EUR/MWh,183.34,0.0
01.01.2026,UTC,23:30,23:45,AEP-Schätzer,Betrieblich,EUR/MWh,156.13,0.0
01.01.2026,UTC,23:45,00:00,AEP-Schätzer,Betrieblich,EUR/MWh,63.45,0.0
02.01.2026,UTC,00:00,00:15,AEP-Schätzer,Betrieblich,EUR/MWh,51.84,0.0
02.01.2026,UTC,00:15,00:30,AEP-Schätzer,Betrieblich,EUR/MWh,76.28,0.0
02.01.2026,UTC,00:30,00:45,AEP-Schätzer,Betrieblich,EUR/MWh,63.32,0.0
02.01.2026,UTC,00:45,01:00,AEP-Schätzer,Betrieblich,EUR/MWh,79.4,0.0
02.01.2026,UTC,01:00,01:15,AEP-Schätzer,Betrieblich,EUR/MWh,81.58,0.0
02.01.2026,UTC,01:15,01:30,AEP-Schätzer,Betrieblich,EUR/MWh,50.63,0.0
02.01.2026,UTC,01:30,01:45,AEP-Schätzer,Betrieblich,EUR/MWh,58.18,0.0
