Datum,Zeitzone,von,bis,Datenkategorie,Datentyp,Einheit,Deutschland,AEP Knappheitskomponente,Mrl-Mol-Abweichung,Srl-Mol-Abweichung
03.01.2026,UTC,00:45,01:00,NRV-Saldo,Betrieblich,MW,-440.62,0.0,0.0,0.0
03.01.2026,UTC,01:00,01:15,NRV-Saldo,Betrieblich,MW,316.906,0.0,0.0,0.0
03.01.2026,UTC,01:15,01:30,NRV-Saldo,Betrieblich,MW,812.37,0.0,0.0,0.0
03.01.2026,UTC,01:30,01:45,NRV-Saldo,Betrieblich,MW,824.696,0.0,0.0,0.0
03.01.2026,UTC,01:45,02:00,NRV-Saldo,Betrieblich,MW,880.337,0.0,0.0,0.0
03.01.2026,UTC,02:00,02:15,NRV-Saldo,Betrieblich,MW,1079.208,0.0,0.0,0.0
03.01.2026,UTC,02:15,02:30,NRV-Saldo,Betrieblich,MW,1282.015,0.0,0.0,0.0
03.01.2026,UTC,02:30,02:45,NRV-Saldo,Betrieblich,MW,516.955,0.0,0.0,0.0
03.01.2026,UTC,02:45,03:00,NRV-Saldo,Betrieblich,MW,226.02,0.0,0.0,0.0
03.01.2026,UTC,03:00,03:15,NRV-Saldo,Betrieblich,MW,-1305.443,0.0,0.0,0.0
03.01.2026,UTC,03:15,03:30,NRV-Saldo,Betrieblich,MW,-649.031,0.0,0.0,0.0
03.01.2026,UTC,03:30,03:45,NRV-Saldo,Betrieblich,MW,-572.599,0.0,0.0,0.0
03.01.2026,UTC,03:45,04:00,NRV-Saldo,Betrieblich,MW,-771.516,0.0,0.0,0.0
03.01.2026,UTC,04:00,04:15,NRV-Saldo,Betrieblich,MW,-667.368,0.0,0.0,0.0
03.01.2026,UTC,04:15,04:30,NRV-Saldo,Betrieblich,MW,-164.974,0.0,0.0,0.0
03.01.2026,UTC,04:30,04:45,NRV-Saldo,Betrieblich,MW,527.502,0.0,0.0,0.0
03.01.2026,UTC,04:45,05:00,NRV-Saldo,Betrieblich,MW,868.039,0.0,0.0,0.0
03.01.2026,UTC,05:00,05:15,NRV-Saldo,Betrieblich,MW,-206.533,0.0,0.0,0.0
03.01.2026,UTC,05:15,05:30,NRV-Saldo,Betrieblich,MW,-988.571,0.0,0.0,0.0
03.01.2026,UTC,05:30,05:45,NRV-Saldo,Betrieblich,MW,-597.58,0.0,0.0,0.0
03.01.2026,UTC,05:45,06:00,NRV-Saldo,Betrieblich,MW,-517.123,0.0,0.0,0.0
03.01.2026,UTC,06:00,06:15,NRV-Saldo,Betrieblich,MW,-284.703,0.0,0.0,0.0
03.01.2026,UTC,06:15,06:30,NRV-Saldo,Betrieblich,MW,257.35,0.0,0.0,0.0
03.01.2026,UTC,06:30,06:45,NRV-Saldo,Betrieblich,MW,958.536,0.0,0.0,0.0
03.01.2026,UTC,06:45,07:00,NRV-Saldo,Betrieblich,MW,160.071,0.0,0.0,0.0
03.01.2026,UTC,07:00,07:15,NRV-Saldo,Betrieblich,MW,-690.856,0.0,0.0,0.0
03.01.2026,UTC,07:15,07:30,NRV-Saldo,Betrieblich,MW,-504.395,0.0,0.0,0.0
03.01.2026,UTC,07:30,07:45,NRV-Saldo,Betrieblich,MW,-357.823,0.0,0.0,0.0
03.01.2026,UTC,07:45,08:00,NRV-Saldo,Betrieblich,MW,-39.543,0.0,0.0,0.0
03.01.2026,UTC,08:00,08:15,NRV-Saldo,Betrieblich,MW,-455.374,0.0,0.0,0.0
03.01.2026,UTC,08:15,08:30,NRV-Saldo,Betrieblich,MW,-143.672,0.0,0.0,0.0
03.01.2026,UTC,08:30,08:45,NRV-Saldo,Betrieblich,MW,-424.315,0.0,0.0,0.0
03.01.2026,UTC,08:45,09:00,NRV-Saldo,Betrieblich,MW,-594.511,0.0,0.0,0.0
03.01.2026,UTC,09:00,09:15,NRV-Saldo,Betrieblich,MW,-243.506,0.0,0.0,0.0
03.01.2026,UTC,09:15,09:30,NRV-Saldo,Betrieblich,MW,-205.38,0.0,0.0,0.0
03.01.2026,UTC,09:30,09:45,NRV-Saldo,Betrieblich,MW,488.033,0.0,0.0,0.0
03.01.2026,UTC,09:45,10:00,NRV-Saldo,Betrieblich,MW,303.805,0.0,0.0,0.0
03.01.2026,UTC,10:00,10:15,NRV-Saldo,Betrieblich,MW,-446.682,0.0,0.0,0.0
03.01.2026,UTC,10:15,10:30,NRV-Saldo,Betrieblich,MW,-348.441,0.0,0.0,0.0
03.01.2026,UTC,10:30,10:45,NRV-Saldo,Betrieblich,MW,-341.819,0.0,0.0,0.0
03.01.2026,UTC,10:45,11:00,NRV-Saldo,Betrieblich,MW,-326.836,0.0,0.0,0.0
03.01.2026,UTC,11:00,11:15,NRV-Saldo,Betrieblich,MW,-510.443,0.0,0.0,0.0
03.01.2026,UTC,11:15,11:30,NRV-Saldo,Betrieblich,MW,-866.846,0.0,0.0,0.0
03.01.2026,UTC,11:30,11:45,NRV-Saldo,Betrieblich,MW,-48.384,0.0,0.0,0.0
03.01.2026,UTC,11:45,12:00,NRV-Saldo,Betrieblich,MW,532.108,0.0,0.0,0.0
03.01.2026,UTC,12:00,12:15,NRV-Saldo,Betrieblich,MW,180.998,0.0,0.0,0.0
03.01.2026,UTC,12:15,12:30,NRV-Saldo,Betrieblich,MW,-145.458,0.0,0.0,0.0
03.01.2026,UTC,12:30,12:45,NRV-Saldo,Betrieblich,MW,-351.135,0.0,0.0,0.0
03.01.2026,UTC,12:45,13:00,NRV-Saldo,Betrieblich,MW,-188.858,0.0,0.0,0.0
03.01.2026,UTC,13:00,13:15,NRV-Saldo,Betrieblich,MW,-212.154,0.0,0.0,0.0
03.01.2026,UTC,13:15,13:30,NRV-Saldo,Betrieblich,MW,66.303,0.0,0.0,0.0
03.01.2026,UTC,13:30,13:45,NRV-Saldo,Betrieblich,MW,418.463,0.0,0.0,0.0
03.01.2026,UTC,13:45,14:00,NRV-Saldo,Betrieblich,MW,792.449,0.0,0.0,0.0
03.01.2026,UTC,14:00,14:15,NRV-Saldo,Betrieblich,MW,759.837,0.0,0.0,0.0
03.01.2026,UTC,14:15,14:30,NRV-Saldo,Betrieblich,MW,533.645,0.0,0.0,0.0
03.01.2026,UTC,14:30,14:45,NRV-Saldo,Betrieblich,MW,949.983,0.0,0.0,0.0
03.01.2026,UTC,14:45,15:00,NRV-Saldo,Betrieblich,MW,718.403,0.0,0.0,0.0
